iter	Passed	Remaining
815	1610	363
816	1612	361
817	1613	359
818	1615	356
819	1616	354
820	1619	353
821	1620	350
822	1622	348
823	1623	346
824	1625	344
825	1626	342
826	1628	340
827	1629	338
828	1631	336
829	1633	334
830	1634	332
831	1637	330
832	1639	328
833	1640	326
834	1642	324
835	1644	322
836	1646	320
837	1647	318
838	1649	316
839	1650	314
840	1652	312
841	1653	310
842	1655	308
843	1656	306
844	1658	304
845	1659	302
846	1661	300
847	1662	298
848	1663	295
849	1665	293
850	1666	291
851	1668	289
852	1669	287
853	1671	285
854	1672	283
855	1674	281
856	1675	279
857	1677	277
858	1678	275
859	1679	273
860	1681	271
861	1683	269
862	1684	267
863	1685	265
864	1687	263
865	1688	261
866	1690	259
867	1691	257
868	1693	255
869	1694	253
870	1696	251
871	1697	249
872	1699	247
873	1700	245
874	1702	243
875	1703	241
876	1705	239
877	1706	237
878	1708	235
879	1710	233
880	1711	231
881	1713	229
882	1715	227
883	1716	225
884	1718	223
885	1719	221
886	1721	219
887	1722	217
888	1724	215
889	1725	213
890	1727	211
891	1728	209
892	1730	207
893	1731	205
894	1733	203
895	1734	201
896	1736	199
897	1737	197
898	1739	195
899	1740	193
900	1742	191
901	1743	189
902	1745	187
903	1746	185
904	1748	183
905	1749	181
906	1750	179
907	1752	177
908	1753	175
909	1755	173
910	1756	171
911	1758	169
912	1759	167
913	1761	165
914	1762	163
915	1763	161
916	1765	159
917	1766	157
918	1767	155
919	1769	153
920	1770	151
921	1772	149
922	1773	147
923	1775	146
924	1776	144
925	1777	142
926	1779	140
927	1780	138
928	1781	136
929	1783	134
930	1784	132
931	1786	130
932	1787	128
933	1788	126
934	1790	124
935	1791	122
936	1793	120
937	1794	118
938	1795	116
939	1797	114
940	1798	112
941	1800	110
942	1801	108
943	1802	106
944	1804	104
945	1805	103
946	1806	101
947	1808	99
948	1809	97
949	1811	95
950	1812	93
951	1813	91
952	1815	89
953	1816	87
954	1817	85
955	1819	83
956	1820	81
957	1821	79
958	1823	77
959	1824	76
960	1825	74
961	1827	72
962	1828	70
963	1829	68
964	1831	66
965	1832	64
966	1833	62
967	1835	60
968	1836	58
969	1837	56
970	1839	54
971	1840	53
972	1841	51
973	1842	49
974	1844	47
975	1845	45
976	1847	43
977	1848	41
978	1849	39
979	1850	37
980	1852	35
981	1853	33
982	1854	32
983	1856	30
984	1857	28
985	1859	26
986	1860	24
987	1861	22
988	1863	20
989	1864	18
990	1865	16
991	1867	15
992	1868	13
993	1869	11
994	1871	9
995	1872	7
996	1874	5
997	1875	3
998	1877	1
999	1878	0
